name,id,year,runtime,certificate,poster_link,metascore,director,stars,gross,genres,imdb_rating
Shrek,tt0126029,2001,90 min,Livre,"https://m.media-amazon.com/images/M/MV5BOGZhM2FhNTItODAzNi00YjA0LWEyN2UtNjJlYWQzYzU1MDg5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",84,[],"['Andrew Adamson', 'Vicky Jenson', 'Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'John Lithgow']",,[],7.9
Vidas ao Vento,tt2013293,2013,126 min,12,"https://m.media-amazon.com/images/M/MV5BMTU4NDg0MzkzNV5BMl5BanBnXkFtZTgwODA3Mzc1MDE@._V1_UY209_CR0,0,140,209_AL_.jpg",83,[],"['Hayao Miyazaki', 'Hideaki Anno', 'Hidetoshi Nishijima', 'Miori Takimoto', 'Masahiko Nishimura']",,[],7.7
Divertida Mente,tt2096673,I) (2015,95 min,Livre,"https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_UY209_CR0,0,140,209_AL_.jpg",94,[],"['Pete Docter', 'Ronnie Del Carmen', 'Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']",,[],8.1
Porco Rosso: O Último Herói Romântico,tt0104652,1992,94 min,Livre,"https://m.media-amazon.com/images/M/MV5BNTZjMDc2N2UtZTdjZi00ODljLTgyZmEtNDljZDAwODY4NDVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg",83,[],"['Hayao Miyazaki', 'Shûichirô Moriyama', 'Tokiko Katô', 'Bunshi Katsura Vi', 'Tsunehiko Kamijô']",,[],7.7
Procurando Dory,tt2277860,2016,97 min,Livre,"https://m.media-amazon.com/images/M/MV5BYWVmYTcwZDYtYzNmNC00M2U2LWFjZWYtOWRlY2NiNjc5ZjdiXkEyXkFqcGdeQXVyNjY5Mjg5MjA@._V1_UY209_CR3,0,140,209_AL_.jpg",77,[],"['Andrew Stanton', 'Angus MacLane', 'Ellen DeGeneres', 'Albert Brooks', ""Ed O'Neill"", 'Kaitlin Olson']",,[],7.3
Os Jovens Titãs em Ação! Nos Cinemas,tt7424200,2018,84 min,Livre,"https://m.media-amazon.com/images/M/MV5BOTZhMTIwZDUtYjZjZS00MmViLTg3NzEtNWE5NzI1NDUwNDJmXkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_UY209_CR0,0,140,209_AL_.jpg",69,[],"['Aaron Horvath', 'Peter Rida Michail', 'Greg Cipes', 'Scott Menville', 'Khary Payton', 'Tara Strong']",,[],6.7
A Pequena Sereia,tt0097757,1989,83 min,Livre,"https://m.media-amazon.com/images/M/MV5BOWUyNDA0ZmItMzg2My00YjJhLTk1N2QtYTAxYTc0NzMzNDI0XkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_UX140_CR0,0,140,209_AL_.jpg",88,[],"['Ron Clements', 'John Musker', 'Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois', 'Christopher Daniel Barnes']",,[],7.6
Minha Vida de Abobrinha,tt2321405,2016,66 min,10,"https://m.media-amazon.com/images/M/MV5BZWVmOTQ2NTQtN2U3OS00YjMxLThmNDAtNDg3NmMzMTgzNWYwXkEyXkFqcGdeQXVyNDA5NTgxNjU@._V1_UY209_CR1,0,140,209_AL_.jpg",85,[],"['Claude Barras', 'Gaspard Schlatter', 'Sixtine Murat', 'Paulin Jaccoud', 'Michel Vuillermoz']",,[],7.8
O Castelo de Cagliostro,tt0079833,1979,100 min,10,"https://m.media-amazon.com/images/M/MV5BYzYyNjg3OTctNzA2ZS00NjkzLWE4MmYtZDAzZWQ0NzkyMTJhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg",72,[],"['Hayao Miyazaki', 'Yasuo Yamada', 'Eiko Masuyama', 'Kiyoshi Kobayashi', 'Makio Inoue']",,[],7.6
Kung Fu Panda,tt0441773,2008,92 min,Livre,"https://m.media-amazon.com/images/M/MV5BODJkZTZhMWItMDI3Yy00ZWZlLTk4NjQtOTI1ZjU5NjBjZTVjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg",74,[],"['Mark Osborne', 'John Stevenson', 'Jack Black', 'Ian McShane', 'Angelina Jolie', 'Dustin Hoffman']",,[],7.6
Bambi,tt0034492,1942,69 min,Livre,"https://m.media-amazon.com/images/M/MV5BY2JhMTJmYjYtNTVkYi00OWE3LWJlMjEtOWI4MTFkMjJhMmQ3XkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX140_CR0,0,140,209_AL_.jpg",91,[],"['James Algar', 'Samuel Armstrong', 'David Hand', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright', 'Arthur Davis', 'Clyde Geronimi', 'Hardie Albright', 'Stan Alexander', 'Bobette Audrey', 'Peter Behn']",,[],7.3
Frankenweenie,tt1142977,2012,87 min,10,"https://m.media-amazon.com/images/M/MV5BMjIxODY3MjEwNV5BMl5BanBnXkFtZTcwOTMzNjc4Nw@@._V1_UY209_CR0,0,140,209_AL_.jpg",74,[],"['Tim Burton', 'Winona Ryder', ""Catherine O'Hara"", 'Martin Short', 'Martin Landau']",,[],6.9
Uma Aventura Lego 2,tt3513498,2019,107 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTkyOTkwNDc1N15BMl5BanBnXkFtZTgwNzkyMzk3NjM@._V1_UY209_CR0,0,140,209_AL_.jpg",65,[],"['Mike Mitchell', 'Chris Pratt', 'Elizabeth Banks', 'Will Arnett', 'Tiffany Haddish']",,[],6.6
A Era do Gelo,tt0268380,2002,81 min,Livre,"https://m.media-amazon.com/images/M/MV5BOGEwMTQyMDktMWUwZC00MzExLTg1MGMtYWJiNWNhMzIyMGU5XkEyXkFqcGdeQXVyOTYyMTY2NzQ@._V1_UY209_CR0,0,140,209_AL_.jpg",61,[],"['Chris Wedge', 'Carlos Saldanha', 'Denis Leary', 'John Leguizamo', 'Ray Romano', 'Goran Visnjic']",,[],7.5
A Família Mitchell e a Revolta das Máquinas,tt7979580,2021,114 min,Livre,"https://m.media-amazon.com/images/M/MV5BMjdkZjNjNDItYzc4MC00NTkxLTk1MWEtY2UyZjY5MjUwNDNkXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_UY209_CR0,0,140,209_AL_.jpg",81,[],"['Michael Rianda', 'Jeff Rowe', 'Abbi Jacobson', 'Danny McBride', 'Maya Rudolph', 'Michael Rianda']",,[],7.6
O Mundo dos Pequeninos,tt1568921,2010,94 min,Livre,"https://m.media-amazon.com/images/M/MV5BZDY3ZGI0ZDAtMThlNy00MzAxLTg4YjAtNjkwYTkxNmQ4MjdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg",80,[],"['Hiromasa Yonebayashi', 'Bridgit Mendler', 'Amy Poehler', 'Will Arnett', 'Mirai Shida']",,[],7.6
Kung Fu Panda 3,tt2267968,2016,95 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_UY209_CR0,0,140,209_AL_.jpg",66,[],"['Alessandro Carloni', 'Jennifer Yuh Nelson', 'Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie']",,[],7.1
Operação Big Hero,tt2245084,2014,102 min,Livre,"https://m.media-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_UY209_CR3,0,140,209_AL_.jpg",74,[],"['Don Hall', 'Chris Williams', 'Ryan Potter', 'Scott Adsit', 'Jamie Chung', 'T.J. Miller']",,[],7.8
Os Simpsons: O Filme,tt0462538,2007,87 min,12,"https://m.media-amazon.com/images/M/MV5BNjc4NmQyNGUtMDg4NS00ZTZkLWI3ODQtMGJmYThiYjQxNGRiXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UY209_CR0,0,140,209_AL_.jpg",80,[],"['David Silverman', 'Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright', 'Yeardley Smith']",,[],7.3
O Estranho Mundo de Jack,tt0107688,1993,76 min,Livre,"https://m.media-amazon.com/images/M/MV5BNWE4OTNiM2ItMjY4Ni00ZTViLWFiZmEtZGEyNGY2ZmNlMzIyXkEyXkFqcGdeQXVyMDU5NDcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",82,[],"['Henry Selick', 'Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey']",,[],7.9
Universidade Monstros,tt1453405,2013,104 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",65,[],"['Dan Scanlon', 'Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren']",,[],7.2
Klaus,tt4729430,2019,96 min,10,"https://m.media-amazon.com/images/M/MV5BMWYwOThjM2ItZGYxNy00NTQwLWFlZWEtM2MzM2Q5MmY3NDU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",65,[],"['Sergio Pablos', 'Carlos Martínez López', 'Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Will Sasso']",,[],8.2
ParaNorman,tt1623288,2012,92 min,10,"https://m.media-amazon.com/images/M/MV5BMjA1OTU1NDM3N15BMl5BanBnXkFtZTcwMjYxNTg0Nw@@._V1_UY209_CR0,0,140,209_AL_.jpg",72,[],"['Chris Butler', 'Sam Fell', 'Kodi Smit-McPhee', 'Anna Kendrick', 'Christopher Mintz-Plasse', 'Tucker Albrizzi']",,[],7
A Princesa e o Sapo,tt0780521,2009,97 min,Livre,"https://m.media-amazon.com/images/M/MV5BMjEyOTQ5NzAzNl5BMl5BanBnXkFtZTcwMTcyNTU1Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg",73,[],"['Ron Clements', 'John Musker', 'Anika Noni Rose', 'Keith David', 'Oprah Winfrey', 'Bruno Campos']",,[],7.1
Anomalisa,tt2401878,2015,90 min,14,"https://m.media-amazon.com/images/M/MV5BMTkyMzI2MzQ1N15BMl5BanBnXkFtZTgwNDg0MzQxNzE@._V1_UY209_CR1,0,140,209_AL_.jpg",88,[],"['Duke Johnson', 'Charlie Kaufman', 'David Thewlis', 'Jennifer Jason Leigh', 'Tom Noonan']",,[],7.3
Valente,tt1217209,2012,93 min,Livre,"https://m.media-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_UY209_CR0,0,140,209_AL_.jpg",69,[],"['Mark Andrews', 'Brenda Chapman', 'Steve Purcell', 'Kelly Macdonald', 'Billy Connolly', 'Emma Thompson', 'Julie Walters']",,[],7.1
O Castelo Animado,tt0347149,2004,119 min,Livre,"https://m.media-amazon.com/images/M/MV5BNmM4YTFmMmItMGE3Yy00MmRkLTlmZGEtMzZlOTQzYjk3MzA2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg",82,[],"['Hayao Miyazaki', 'Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa']",,[],8.2
A Noiva Cadáver,tt0121164,2005,77 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",83,[],"['Tim Burton', 'Mike Johnson', 'Johnny Depp', 'Helena Bonham Carter', 'Emily Watson', 'Tracey Ullman']",,[],7.3
Alice no País das Maravilhas,tt0043274,1951,75 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTgyMjM2NTAxMF5BMl5BanBnXkFtZTgwNjU1NDc2MTE@._V1_UY209_CR0,0,140,209_AL_.jpg",68,[],"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske', 'Jack Kinney', 'Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn', 'Sterling Holloway']",,[],7.3
Batman: A Máscara do Fantasma,tt0106364,1993,76 min,Livre,"https://m.media-amazon.com/images/M/MV5BYTRiMWM3MGItNjAxZC00M2E3LThhODgtM2QwOGNmZGU4OWZhXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY209_CR0,0,140,209_AL_.jpg",65,[],"['Eric Radomski', 'Kevin Altieri', 'Boyd Kirkland', 'Frank Paur', 'Dan Riba', 'Bruce Timm', 'Kevin Conroy', 'Dana Delany', 'Hart Bochner', 'Stacy Keach']",,[],7.8
Dois Irmãos: Uma Jornada Fantástica,tt7146812,I) (2020,102 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTZlYzk3NzQtMmViYS00YWZmLTk5ZTEtNWE0NGVjM2MzYWU1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",61,[],"['Dan Scanlon', 'Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']",,[],7.4
101 Dálmatas,tt0115433,1996,103 min,Livre,"https://m.media-amazon.com/images/M/MV5BMGI2NTQ2N2EtNDExMS00OWM2LTkzZWItZGUzY2M2MDFjODk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",49,[],"['Stephen Herek', 'Glenn Close', 'Jeff Daniels', 'Joely Richardson', 'Joan Plowright']",,[],5.7
O Serviço de Entregas da Kiki,tt0097814,1989,103 min,Livre,"https://m.media-amazon.com/images/M/MV5BYTQ1ZTM1ZTgtN2Q2Ny00YjFkLTliNjEtN2I1ZmY5ZTY1OTEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg",85,[],"['Hayao Miyazaki', 'Kirsten Dunst', 'Minami Takayama', 'Rei Sakuma', 'Kappei Yamaguchi']",,[],7.8
Coraline e o Mundo Secreto,tt0327597,2009,100 min,Livre,"https://m.media-amazon.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_UY209_CR0,0,140,209_AL_.jpg",80,[],"['Henry Selick', 'Dakota Fanning', 'Teri Hatcher', 'John Hodgman', 'Jennifer Saunders']",,[],7.7
Heavy Metal - Universo em Fantasia,tt0082509,1981,86 min,18,"https://m.media-amazon.com/images/M/MV5BOTc2NzM1ODgtM2RkYi00M2U4LWE4NzEtMDMzZGUzYmI1ZDUzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",51,[],"['Gerald Potterton', 'John Bruno', 'John Halas', 'Julian Harris', 'Jimmy T. Murakami', 'Barrie Nelson', 'Paul Sabella', 'Jack Stokes', 'Pino Van Lamsweerde', 'Harold Whitaker', 'Richard Romanus', 'John Candy', 'Joe Flaherty', 'Don Francks']",,[],6.6
Hércules,tt0119282,1997,93 min,Livre,"https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_UY209_CR0,0,140,209_AL_.jpg",74,[],"['Ron Clements', 'John Musker', 'Tate Donovan', 'Susan Egan', 'James Woods', 'Barbara Barrie']",,[],7.3
A Casa Monstro,tt0385880,2006,91 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTIzNjE1NDg1N15BMl5BanBnXkFtZTcwOTg2NTMzMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",68,[],"['Gil Kenan', 'Mitchel Musso', 'Sam Lerner', 'Spencer Locke', 'Ryan Whitney']",,[],6.6
Frozen: Uma Aventura Congelante,tt2294629,I) (2013,102 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_UY209_CR0,0,140,209_AL_.jpg",75,[],"['Chris Buck', 'Jennifer Lee', 'Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad']",,[],7.4
O Conto da Princesa Kaguya,tt2576852,2013,137 min,Livre,"https://m.media-amazon.com/images/M/MV5BNThmMWMyMWMtOWRiNy00MGY0LTg1OTUtNjYzODg2MjdlZGU5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR4,0,140,209_AL_.jpg",89,[],"['Isao Takahata', 'Chloë Grace Moretz', 'James Caan', 'Mary Steenburgen', 'James Marsden']",,[],8
Meu Amigo Totoro,tt0096283,1988,86 min,Livre,"https://m.media-amazon.com/images/M/MV5BYzJjMTYyMjQtZDI0My00ZjE2LTkyNGYtOTllNGQxNDMyZjE0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR4,0,140,209_AL_.jpg",86,[],"['Hayao Miyazaki', 'Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto', 'Shigesato Itoi']",,[],8.1
Link Perdido,tt6348138,2019,93 min,10,"https://m.media-amazon.com/images/M/MV5BMWFmNWZmZWYtMWM3OC00YTYyLWIxNDMtOTRjNzhiYWQ0MDIwXkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_UY209_CR0,0,140,209_AL_.jpg",68,[],"['Chris Butler', 'Hugh Jackman', 'David Walliams', 'Stephen Fry', 'Matt Lucas']",,[],6.7
Animatrix,tt0328832,2003 Video,100 min,12,"https://m.media-amazon.com/images/M/MV5BZWRiODljNzUtZDkwOC00N2EwLTllMDAtOGQ4MmQ2YWY2MTBiXkEyXkFqcGdeQXVyNDQ0MTYzMDA@._V1_UX140_CR0,0,140,209_AL_.jpg",,['Matrix'],"['Peter Chung', 'Andrew R. Jones', 'Yoshiaki Kawajiri', 'Takeshi Koike', 'Mahiro Maeda', 'Kôji Morimoto', ""Shin'ichirô Watanabe"", 'Kevin Michael Richardson', 'Pamela Adlon', 'John DiMaggio', 'Tom Kenny']",,[],7.3
Dumbo,tt0033563,1941,64 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTU0NDcxMDA1MV5BMl5BanBnXkFtZTgwNzI0Njg0MTE@._V1_UY209_CR1,0,140,209_AL_.jpg",96,[],"['Samuel Armstrong', 'Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Bill Roberts', 'Ben Sharpsteen', 'John Elliotte', 'Sterling Holloway', 'Edward Brophy', 'Herman Bing', 'Mel Blanc']",,[],7.2
O Castelo no Céu,tt0092067,1986,125 min,Livre,"https://m.media-amazon.com/images/M/MV5BNDFhZmY2NTgtMzljYy00MTlhLTgyMjItNTEwZWJkYThhYzkyXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX140_CR0,0,140,209_AL_.jpg",78,[],"['Hayao Miyazaki', 'Mayumi Tanaka', 'Keiko Yokozawa', 'Kotoe Hatsui', 'Minori Terada']",,[],8
O Expresso Polar,tt0338348,2004,100 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",61,[],"['Robert Zemeckis', 'Tom Hanks', 'Chris Coppola', 'Michael Jeter', 'Leslie Zemeckis']",,[],6.6
Fantasia,tt0032455,1940,124 min,Livre,"https://m.media-amazon.com/images/M/MV5BMjAxMTI1Njk3OF5BMl5BanBnXkFtZTgwNjkzODk4NTE@._V1_UX140_CR0,0,140,209_AL_.jpg",96,[],"['James Algar', 'Samuel Armstrong', 'Ford Beebe Jr.', 'Norman Ferguson', 'David Hand', 'Jim Handley', 'T. Hee', 'Wilfred Jackson', 'Hamilton Luske', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'Leopold Stokowski', 'Deems Taylor', 'The Philadelphia Orchestra', 'Corey Burton']",,[],7.7
Túmulo dos Vagalumes,tt0095327,1988,89 min,12,"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX140_CR0,0,140,209_AL_.jpg",94,[],"['Isao Takahata', 'Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara']",,[],8.5
As Peripécias do Ratinho Detetive,tt0091149,1986,74 min,Livre,"https://m.media-amazon.com/images/M/MV5BMDUzMTliZDYtMmRjZS00Zjk3LWIwZjEtZjc4N2NjYjdmY2FjXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_UX140_CR0,0,140,209_AL_.jpg",73,[],"['Ron Clements', 'Burny Mattinson', 'David Michener', 'John Musker', 'Vincent Price', 'Barrie Ingham', 'Val Bettin', 'Susanne Pollatschek']",,[],7.1
Festa da Salsicha,tt1700841,2016,89 min,16,"https://m.media-amazon.com/images/M/MV5BMjkxOTk1MzY4MF5BMl5BanBnXkFtZTgwODQzOTU5ODE@._V1_UY209_CR0,0,140,209_AL_.jpg",66,[],"['Conrad Vernon', 'Greg Tiernan', 'Seth Rogen', 'Kristen Wiig', 'Jonah Hill', 'Alistair Abell']",,[],6.1
